brand,id,category,type,dc_mm,shank_mm,ratio,classification
"YG-1","SEME640400350","solid_mill","end_mill",101.6,6,16.9,bad-diameter
"YG-1","SEME640400510","solid_mill","end_mill",101.6,6,16.9,bad-diameter
"YG-1","SEME640400512","solid_mill","end_mill",101.6,6,16.9,bad-diameter
"YG-1","SEME640400514","solid_mill","end_mill",101.6,6,16.9,bad-diameter
"YG-1","SEME640400516","solid_mill","end_mill",101.6,6,16.9,bad-diameter
"YG-1","SEME640400520","solid_mill","end_mill",101.6,6,16.9,bad-diameter
"YG-1","SEME640400526","solid_mill","end_mill",101.6,6,16.9,bad-diameter
"YG-1","SEME640400530","solid_mill","end_mill",101.6,6,16.9,bad-diameter
"YG-1","SEME640400535","solid_mill","end_mill",101.6,6,16.9,bad-diameter
"YG-1","SEME640400540","solid_mill","end_mill",101.6,6,16.9,bad-diameter
"YG-1","SEME640400545","solid_mill","end_mill",101.6,6,16.9,bad-diameter
"YG-1","SEME640400550","solid_mill","end_mill",101.6,6,16.9,bad-diameter
"YG-1","SEME640401010","solid_mill","end_mill",101.6,6,16.9,bad-diameter
"YG-1","SEME640401012","solid_mill","end_mill",101.6,6,16.9,bad-diameter
"YG-1","SEME640401014","solid_mill","end_mill",101.6,6,16.9,bad-diameter
"YG-1","SEME640401016","solid_mill","end_mill",101.6,6,16.9,bad-diameter
"YG-1","SEME640401020","solid_mill","end_mill",101.6,6,16.9,bad-diameter
"YG-1","SEME640401026","solid_mill","end_mill",101.6,6,16.9,bad-diameter
"YG-1","SEME640401030","solid_mill","end_mill",101.6,6,16.9,bad-diameter
"YG-1","SEME640401035","solid_mill","end_mill",101.6,6,16.9,bad-diameter
"YG-1","SEME640401040","solid_mill","end_mill",101.6,6,16.9,bad-diameter
"YG-1","SEME640401045","solid_mill","end_mill",101.6,6,16.9,bad-diameter
"YG-1","SEME640401050","solid_mill","end_mill",101.6,6,16.9,bad-diameter
"YG-1","SEME35035","solid_mill","end_mill",88.9,6,14.8,bad-diameter
"YG-1","SEME35040","solid_mill","end_mill",101.6,6,16.9,bad-diameter
"YG-1","SEME35045","solid_mill","end_mill",114.3,6,19.1,bad-diameter
"YG-1","SEME36035","solid_mill","end_mill",88.9,6,14.8,bad-diameter
"YG-1","SEME36040","solid_mill","end_mill",101.6,6,16.9,bad-diameter
"YG-1","SEME36045","solid_mill","end_mill",114.3,6,19.1,bad-diameter
"YG-1","SEME7104004","solid_mill","end_mill",101.6,6,16.9,bad-diameter
"YG-1","SEME7104008","solid_mill","end_mill",101.6,6,16.9,bad-diameter
"YG-1","SEME71040","solid_mill","end_mill",101.6,6,16.9,bad-diameter
"YG-1","SEME7104012","solid_mill","end_mill",101.6,6,16.9,bad-diameter
"YG-1","SEME7104014","solid_mill","end_mill",101.6,6,16.9,bad-diameter
"YG-1","SEME7104016","solid_mill","end_mill",101.6,6,16.9,bad-diameter
"YG-1","SEME72040204S","solid_mill","end_mill",101.6,101.6,1,bad-diameter
"YG-1","SEME7204012","solid_mill","end_mill",101.6,6,16.9,bad-diameter
"YG-1","SEME7204016","solid_mill","end_mill",101.6,6,16.9,bad-diameter
"YG-1","SEME7204020","solid_mill","end_mill",101.6,6,16.9,bad-diameter
"YG-1","SEME7204026","solid_mill","end_mill",101.6,6,16.9,bad-diameter
"YG-1","SEME7204030","solid_mill","end_mill",101.6,6,16.9,bad-diameter
"YG-1","GM818911","solid_mill","end_mill",101.6,6,16.9,bad-diameter
"YG-1","GM8A1040","solid_mill","end_mill",101.6,6,16.9,bad-diameter
"YG-1","GM8A1986","solid_mill","end_mill",101.6,6,16.9,bad-diameter
"YG-1","GM8A1987","solid_mill","end_mill",101.6,6,16.9,bad-diameter
"YG-1","GM810035","solid_mill","end_mill",88.9,6,14.8,bad-diameter
"YG-1","GM810040","solid_mill","end_mill",101.6,6,16.9,bad-diameter
"YG-1","EE515040","solid_mill","end_mill",101.6,101.6,1,bad-diameter
"YG-1","EH919040","solid_mill","end_mill",101.6,101.6,1,bad-diameter
"YG-1","EMB41040","solid_mill","end_mill",101.6,101.6,1,bad-diameter
"YG-1","EMB43040","solid_mill","end_mill",101.6,101.6,1,bad-diameter
"YG-1","EMB14040","solid_mill","end_mill",101.6,101.6,1,bad-diameter
"YG-1","EMB15040","solid_mill","end_mill",101.6,101.6,1,bad-diameter
"YG-1","EMB74040","solid_mill","end_mill",101.6,101.6,1,bad-diameter
"YG-1","YG1-300.0","solid_mill","end_mill",300,200,1.5,bad-diameter
"YG-1","YG1-100.0","solid_mill","end_mill",100,100,1,bad-diameter
"YG-1","E5522040","solid_mill","end_mill",101.6,101.6,1,bad-diameter
"YG-1","EG930040","solid_mill","end_mill",101.6,101.6,1,bad-diameter
"YG-1","EG909040","solid_mill","end_mill",101.6,6,16.9,bad-diameter
"YG-1","EG908035","solid_mill","end_mill",88.9,6,14.8,bad-diameter
"YG-1","EG908040","solid_mill","end_mill",101.6,6,16.9,bad-diameter
"YG-1","EI880035","solid_mill","end_mill",88.9,6,14.8,bad-diameter
"YG-1","EI880040","solid_mill","end_mill",101.6,6,16.9,bad-diameter
"YG-1","99560","solid_mill","end_mill",101.6,101.6,1,bad-diameter
"YG-1","99568","solid_mill","end_mill",101.6,101.6,1,bad-diameter
"YG-1","EH527035","solid_mill","end_mill",88.9,88.9,1,bad-diameter
"YG-1","EH527040","solid_mill","end_mill",101.6,101.6,1,bad-diameter
"YG-1","EH527045","solid_mill","end_mill",114.3,114.3,1,bad-diameter
"YG-1","EH540035","solid_mill","end_mill",88.9,88.9,1,bad-diameter
"YG-1","EH540040","solid_mill","end_mill",101.6,101.6,1,bad-diameter
"YG-1","EH540045","solid_mill","end_mill",114.3,114.3,1,bad-diameter
"YG-1","EH882040","solid_mill","end_mill",101.6,101.6,1,bad-diameter
"YG-1","15255","solid_mill","end_mill",88.9,88.9,1,bad-diameter
"YG-1","15256","solid_mill","end_mill",101.6,101.6,1,bad-diameter
"YG-1","15257","solid_mill","end_mill",114.3,114.3,1,bad-diameter
"YG-1","16255","solid_mill","end_mill",88.9,88.9,1,bad-diameter
"YG-1","16256","solid_mill","end_mill",101.6,101.6,1,bad-diameter
"YG-1","16257","solid_mill","end_mill",114.3,114.3,1,bad-diameter
"Sumitomo","WSX445-040A04AR","solid_mill","end_mill",160,,,bad-diameter
"Sumitomo","WSX445-050A03AR","solid_mill","end_mill",220,,,bad-diameter
"Sumitomo","WSX445-050A04AR","solid_mill","end_mill",220,,,bad-diameter
"Sumitomo","WSX445-050A05AR","solid_mill","end_mill",220,,,bad-diameter
"Sumitomo","WSX445-063A04AR","solid_mill","end_mill",220,,,bad-diameter
"Sumitomo","WSX445-063A05AR","solid_mill","end_mill",220,,,bad-diameter
"Sumitomo","WSX445-063A06AR","solid_mill","end_mill",220,,,bad-diameter
"Sumitomo","WSX445-080A04AR","solid_mill","end_mill",271,,,bad-diameter
"Sumitomo","WSX445-080A06AR","solid_mill","end_mill",271,,,bad-diameter
"Sumitomo","WSX445-080A08AR","solid_mill","end_mill",271,,,bad-diameter
"Sumitomo","WSX445-100B05AR","solid_mill","end_mill",321,,,bad-diameter
"Sumitomo","WSX445-100B07AR","solid_mill","end_mill",321,,,bad-diameter
"Sumitomo","WSX445-100B10AR","solid_mill","end_mill",321,,,bad-diameter
"Sumitomo","WSX445-125B06AR","solid_mill","end_mill",403,,,bad-diameter
"Sumitomo","WSX445-125B08AR","solid_mill","end_mill",403,,,bad-diameter
"Sumitomo","WSX445-125B12AR","solid_mill","end_mill",403,,,bad-diameter
"Sumitomo","WSX445-160C07NR","solid_mill","end_mill",404,,,bad-diameter
"Sumitomo","WSX445-160C10NR","solid_mill","end_mill",404,,,bad-diameter
"Sumitomo","WSX445-160C16NR","solid_mill","end_mill",404,,,bad-diameter
"Sumitomo","WSX445-200C08NR","solid_mill","end_mill",607,,,bad-diameter
"Sumitomo","WSX445-200C12NR","solid_mill","end_mill",607,,,bad-diameter
"Sumitomo","WSX445-200C20NR","solid_mill","end_mill",607,,,bad-diameter
"Sumitomo","ASX445R10005D","solid_mill","end_mill",100,,,bad-diameter
"Sumitomo","ASX445R12506E","solid_mill","end_mill",125,,,bad-diameter
"Sumitomo","ASX445R16007F","solid_mill","end_mill",160,,,bad-diameter
"Sumitomo","ASX445R20008K","solid_mill","end_mill",200,,,bad-diameter
"Sumitomo","ASX445R25010K","solid_mill","end_mill",250,,,bad-diameter
"Sumitomo","ASX445R31514P","solid_mill","end_mill",315,,,bad-diameter
"Sumitomo","ASX445R10007D","solid_mill","end_mill",100,,,bad-diameter
"Sumitomo","ASX445R12508E","solid_mill","end_mill",125,,,bad-diameter
"Sumitomo","ASX445R16010F","solid_mill","end_mill",160,,,bad-diameter
"Sumitomo","ASX445R20012K","solid_mill","end_mill",200,,,bad-diameter
"Sumitomo","ASX445R25014K","solid_mill","end_mill",250,,,bad-diameter
"Sumitomo","ASX445R31518P","solid_mill","end_mill",315,,,bad-diameter
"Sumitomo","ASX445R10010D","solid_mill","end_mill",100,,,bad-diameter
"Sumitomo","ASX445R12512E","solid_mill","end_mill",125,,,bad-diameter
"Sumitomo","ASX445R16016F","solid_mill","end_mill",160,,,bad-diameter
"Sumitomo","ASX445R20020K","solid_mill","end_mill",200,,,bad-diameter
"Sumitomo","ASX445R25024K","solid_mill","end_mill",250,,,bad-diameter
"Sumitomo","ASX445R31528P","solid_mill","end_mill",315,,,bad-diameter
"Sumitomo","ASX445-100A05R","solid_mill","end_mill",100,,,bad-diameter
"Sumitomo","ASX445-125B06R","solid_mill","end_mill",125,,,bad-diameter
"Sumitomo","ASX445-160C07R","solid_mill","end_mill",160,,,bad-diameter
"Sumitomo","ASX445-200C08R","solid_mill","end_mill",200,,,bad-diameter
"Sumitomo","ASX445-250C10R","solid_mill","end_mill",250,,,bad-diameter
"Sumitomo","ASX445-315C14R","solid_mill","end_mill",315,,,bad-diameter
"Sumitomo","ASX445-100A07R","solid_mill","end_mill",100,,,bad-diameter
"Sumitomo","ASX445-125B08R","solid_mill","end_mill",125,,,bad-diameter
"Sumitomo","ASX445-160C10R","solid_mill","end_mill",160,,,bad-diameter
"Sumitomo","ASX445-200C12R","solid_mill","end_mill",200,,,bad-diameter
"Sumitomo","ASX445-250C14R","solid_mill","end_mill",250,,,bad-diameter
"Sumitomo","ASX445-315C18R","solid_mill","end_mill",315,,,bad-diameter
"Sumitomo","ASX445-100A10R","solid_mill","end_mill",100,,,bad-diameter
"Sumitomo","ASX445-125B12R","solid_mill","end_mill",125,,,bad-diameter
"Sumitomo","ASX445-160C16R","solid_mill","end_mill",160,,,bad-diameter
"Sumitomo","ASX445-200C20R","solid_mill","end_mill",200,,,bad-diameter
"Sumitomo","ASX445-250C24R","solid_mill","end_mill",250,,,bad-diameter
"Sumitomo","ASX445-315C28R","solid_mill","end_mill",315,,,bad-diameter
"Sumitomo","AOX445R10008D","solid_mill","end_mill",100,,,bad-diameter
"Sumitomo","AOX445R12510E","solid_mill","end_mill",125,,,bad-diameter
"Sumitomo","AOX445R16012F","solid_mill","end_mill",160,,,bad-diameter
"Sumitomo","NF10000R0406D","solid_mill","end_mill",100,,,bad-diameter
"Sumitomo","NF10000R0508E","solid_mill","end_mill",125,,,bad-diameter
"Sumitomo","NF10000R0408D","solid_mill","end_mill",100,,,bad-diameter
"Sumitomo","NF10000R0510E","solid_mill","end_mill",125,,,bad-diameter
"Sumitomo","FF3000R0502E","solid_mill","end_mill",125,,,bad-diameter
"Sumitomo","FF3000R0602F","solid_mill","end_mill",160,,,bad-diameter
"Sumitomo","FF3000R0802K","solid_mill","end_mill",200,,,bad-diameter
"Sumitomo","FF3000R1002K","solid_mill","end_mill",250,,,bad-diameter
"Sumitomo","VOX400R10006D","solid_mill","end_mill",100,,,bad-diameter
"Sumitomo","VOX400R12508E","solid_mill","end_mill",125,,,bad-diameter
"Sumitomo","VOX400R16010F","solid_mill","end_mill",160,,,bad-diameter
"Sumitomo","VOX400R20012K","solid_mill","end_mill",200,,,bad-diameter
"Sumitomo","VOX400R25016K","solid_mill","end_mill",250,,,bad-diameter
"Sumitomo","VOX400R10010D","solid_mill","end_mill",100,,,bad-diameter
"Sumitomo","VOX400R12512E","solid_mill","end_mill",125,,,bad-diameter
"Sumitomo","VOX400R16016F","solid_mill","end_mill",160,,,bad-diameter
"Sumitomo","VOX400R20020K","solid_mill","end_mill",200,,,bad-diameter
"Sumitomo","VOX400R25024K","solid_mill","end_mill",250,,,bad-diameter
"Sumitomo","VOX400R10012D","solid_mill","end_mill",100,,,bad-diameter
"Sumitomo","VOX400R12516E","solid_mill","end_mill",125,,,bad-diameter
"Sumitomo","VOX400R16020F","solid_mill","end_mill",160,,,bad-diameter
"Sumitomo","VOX400R20026K","solid_mill","end_mill",200,,,bad-diameter
"Sumitomo","VOX400R25034K","solid_mill","end_mill",250,,,bad-diameter
"Sumitomo","VOX400-100B06R","solid_mill","end_mill",100,,,bad-diameter
"Sumitomo","VOX400-125B08R","solid_mill","end_mill",125,,,bad-diameter
"Sumitomo","VOX400-160C10R","solid_mill","end_mill",160,,,bad-diameter
"Sumitomo","VOX400-200C12R","solid_mill","end_mill",200,,,bad-diameter
"Sumitomo","VOX400-250C16R","solid_mill","end_mill",250,,,bad-diameter
"Sumitomo","VOX400-100B10R","solid_mill","end_mill",100,,,bad-diameter
"Sumitomo","VOX400-125B12R","solid_mill","end_mill",125,,,bad-diameter
"Sumitomo","VOX400-160C16R","solid_mill","end_mill",160,,,bad-diameter
"Sumitomo","VOX400-200C20R","solid_mill","end_mill",200,,,bad-diameter
"Sumitomo","VOX400-250C24R","solid_mill","end_mill",250,,,bad-diameter
"Sumitomo","VOX400-100B12R","solid_mill","end_mill",100,,,bad-diameter
"Sumitomo","VOX400-125B16R","solid_mill","end_mill",125,,,bad-diameter
