brand,type,designation,taper,bore_min_mm,bore_max_mm,body_dia_mm,gauge_mm,overall_mm,source
HAIMER,shrink_fit,HAIMER-HSK-A63-shrink_fit-8.0,HSK-A63,8,8,14,160,80,haimer-holder-catalog
HAIMER,shrink_fit,HAIMER-HSK-A63-shrink_fit-10.0,HSK-A63,10,10,16,160,80,haimer-holder-catalog
HAIMER,shrink_fit,HAIMER-HSK-A63-shrink_fit-12.0,HSK-A63,12,12,18,160,80,haimer-holder-catalog
HAIMER,shrink_fit,HAIMER-HSK-A63-shrink_fit-16.0,HSK-A63,16,16,24,160,80,haimer-holder-catalog
HAIMER,shrink_fit,.3/4Z,HSK-A63,19.05,19.05,42.42,160.02,17.78,haimer-holder-catalog
HAIMER,shrink_fit,.1Z,HSK-A63,25.4,25.4,42.42,160.02,17.78,haimer-holder-catalog
HAIMER,shrink_fit,HAIMER-HSK-A63-shrink_fit-16.0,HSK-A63,16,16,36,,17,haimer-holder-catalog
HAIMER,shrink_fit,.22.KKB,HSK-A63,22,22,48,,19,haimer-holder-catalog
HAIMER,shrink_fit,.27.KKB,HSK-A63,27,27,60,,21,haimer-holder-catalog
HAIMER,shrink_fit,.32.KKB,HSK-A63,32,32,78,,24,haimer-holder-catalog
HAIMER,shrink_fit,HAIMER-HSK-A63-shrink_fit-40.0,HSK-A63,40,40,87,,27,haimer-holder-catalog
HAIMER,shrink_fit,HAIMER-HSK-A63-shrink_fit-6.35,HSK-A63,6.35,6.35,26.92,,36.07,haimer-holder-catalog
HAIMER,shrink_fit,HAIMER-HSK-A63-shrink_fit-7.94,HSK-A63,7.94,7.94,26.92,,36.07,haimer-holder-catalog
HAIMER,shrink_fit,HAIMER-HSK-A63-shrink_fit-9.52,HSK-A63,9.52,9.52,32,,41.91,haimer-holder-catalog
HAIMER,shrink_fit,HAIMER-HSK-A63-shrink_fit-12.7,HSK-A63,12.7,12.7,32,,46.99,haimer-holder-catalog
HAIMER,shrink_fit,HAIMER-HSK-A63-shrink_fit-15.88,HSK-A63,15.88,15.88,34.04,,50.04,haimer-holder-catalog
HAIMER,shrink_fit,HAIMER-HSK-A63-shrink_fit-6.0,HSK-A63,6,6,27,,36,haimer-holder-catalog
HAIMER,shrink_fit,HAIMER-HSK-A63-shrink_fit-8.0,HSK-A63,8,8,27,,36,haimer-holder-catalog
HAIMER,shrink_fit,HAIMER-HSK-A63-shrink_fit-10.0,HSK-A63,10,10,32,,42,haimer-holder-catalog
HAIMER,shrink_fit,HAIMER-HSK-A63-shrink_fit-12.0,HSK-A63,12,12,32,,47,haimer-holder-catalog
HAIMER,shrink_fit,HAIMER-HSK-A63-shrink_fit-14.0,HSK-A63,14,14,34,,47,haimer-holder-catalog
HAIMER,shrink_fit,HAIMER-HSK-A63-shrink_fit-18.0,HSK-A63,18,18,42,,50,haimer-holder-catalog
HAIMER,shrink_fit,HAIMER-HSK-A63-shrink_fit-20.0,HSK-A63,20,20,35.5,,49,haimer-holder-catalog
HAIMER,shrink_fit,.25.3,HSK-A63,25,25,45,,57,haimer-holder-catalog
HAIMER,shrink_fit,.1/8z.8.i,HSK-A63,3.17,3.17,8.89,,80.01,haimer-holder-catalog
HAIMER,shrink_fit,.03.8,HSK-A63,3,3,9,,80,haimer-holder-catalog
HAIMER,shrink_fit,.04.8,HSK-A63,4,4,10,,80,haimer-holder-catalog
HAIMER,shrink_fit,.05.8,HSK-A63,5,5,11,,80,haimer-holder-catalog
HAIMER,shrink_fit,.1z.i,HSK-A63,25.4,25.4,55.12,,17.02,haimer-holder-catalog
HAIMER,shrink_fit,22,HSK-A63,2,2,8,,9,haimer-holder-catalog
HAIMER,shrink_fit,.1/4Z.4,HSK-A63,6.35,6.35,26.92,199.9,36.07,haimer-holder-catalog
HAIMER,shrink_fit,4 —,HSK-A63,11.11,11.11,32,,41.91,haimer-holder-catalog
HAIMER,shrink_fit,.1/2Z.4,HSK-A63,12.7,12.7,32,199.9,46.99,haimer-holder-catalog
HAIMER,shrink_fit,.5/8Z.4,HSK-A63,15.88,15.88,34.04,199.9,50.04,haimer-holder-catalog
HAIMER,shrink_fit,.3/4Z.4,HSK-A63,19.05,19.05,41.91,199.9,52.07,haimer-holder-catalog
HAIMER,shrink_fit,.1Z.4,HSK-A63,25.4,25.4,53.09,199.9,57.91,haimer-holder-catalog
HAIMER,shrink_fit,.06,HSK-A63,6,6,27,200,36,haimer-holder-catalog
HAIMER,shrink_fit,0 .12,HSK-A63,12,12,32,200,47,haimer-holder-catalog
HAIMER,shrink_fit,.14,HSK-A63,14,14,34,200,47,haimer-holder-catalog
HAIMER,shrink_fit,.16,HSK-A63,16,16,34,200,50,haimer-holder-catalog
HAIMER,shrink_fit,.18,HSK-A63,18,18,42,200,50,haimer-holder-catalog
HAIMER,shrink_fit,.20,HSK-A63,20,20,42,200,52,haimer-holder-catalog
HAIMER,shrink_fit,.25,HSK-A63,25,25,53,200,58,haimer-holder-catalog
HAIMER,shrink_fit,.32,HSK-A63,32,32,53,200,58,haimer-holder-catalog
HAIMER,shrink_fit,.5/16z.37,HSK-A63,7.94,7.94,83.06,199.9,36.07,haimer-holder-catalog
HAIMER,shrink_fit,.3/8z.37,HSK-A63,9.52,9.52,83.06,199.9,41.91,haimer-holder-catalog
HAIMER,shrink_fit,.10.37,HSK-A63,10,10,83,200,42,haimer-holder-catalog
HAIMER,shrink_fit,.40.6.40.67,HSK-A63,40,40,94,200,88,haimer-holder-catalog
HAIMER,shrink_fit,.50.6.50.67,HSK-A63,50,50,94,200,88,haimer-holder-catalog
HAIMER,shrink_fit,.16.67,HSK-A63,16,16,46,100,51,haimer-holder-catalog
HAIMER,shrink_fit,.20.671),HSK-A63,20,20,46,100,53,haimer-holder-catalog
HAIMER,shrink_fit,.22.KKB,HSK-A63,22,22,48,160,19,haimer-holder-catalog
HAIMER,shrink_fit,.27.KKB,HSK-A63,27,27,60,160,21,haimer-holder-catalog
HAIMER,shrink_fit,.32.KKB,HSK-A63,32,32,78,160,24,haimer-holder-catalog
HAIMER,shrink_fit,.40.KKB,HSK-A63,40,40,87,160,27,haimer-holder-catalog
HAIMER,shrink_fit,.1Z.67.I,HSK-A63,25.4,25.4,108.97,228.6,57.91,haimer-holder-catalog
HAIMER,shrink_fit,HAIMER-HSK-A63-shrink_fit-5.0,HSK-A63,5,5,9,0,8,haimer-holder-catalog
HAIMER,shrink_fit,HAIMER-HSK-A63-shrink_fit-19.05,HSK-A63,19.05,19.05,43.43,,17.02,haimer-holder-catalog
HAIMER,shrink_fit,.03,HSK-A63,3,3,9,45,15,haimer-holder-catalog
HAIMER,shrink_fit,.04,HSK-A63,4,4,10,45,18,haimer-holder-catalog
HAIMER,shrink_fit,.05,HSK-A63,5,5,11,45,28,haimer-holder-catalog
HAIMER,shrink_fit,.06.V2,HSK-A63,6,6,12,45,32.5,haimer-holder-catalog
HAIMER,shrink_fit,.06.V3,HSK-A63,6,6,12,50,37.5,haimer-holder-catalog
HAIMER,shrink_fit,.08,HSK-A63,8,8,14,50,27,haimer-holder-catalog
HAIMER,shrink_fit,.10.V2,HSK-A63,10,10,18,50,36.5,haimer-holder-catalog
HAIMER,shrink_fit,.10.V3,HSK-A63,10,10,18,55,41.5,haimer-holder-catalog
HAIMER,shrink_fit,.12,HSK-A63,12,12,20,50,35.5,haimer-holder-catalog
HAIMER,shrink_fit,.1/8Z,HSK-A63,3.17,3.17,9.91,59.97,8.89,haimer-holder-catalog
HAIMER,shrink_fit,.3/16Z,HSK-A63,4.76,4.76,9.91,59.97,14.99,haimer-holder-catalog
HAIMER,shrink_fit,.1/4Z,HSK-A63,6.35,6.35,21.08,70.1,36.07,haimer-holder-catalog
HAIMER,shrink_fit,.3/8Z,HSK-A63,9.52,9.52,23.88,80.01,41.91,haimer-holder-catalog
HAIMER,shrink_fit,03,HSK-A63,3,3,9,80,66,haimer-holder-catalog
HAIMER,shrink_fit,.04,HSK-A63,4,4,10,80,63,haimer-holder-catalog
HAIMER,shrink_fit,.05,HSK-A63,5,5,11,80,63,haimer-holder-catalog
HAIMER,shrink_fit,.06,HSK-A63,6,6,12,80,63,haimer-holder-catalog
HAIMER,shrink_fit,.08,HSK-A63,8,8,14,80,38,haimer-holder-catalog
HAIMER,shrink_fit,.10,HSK-A63,10,10,16,80,48,haimer-holder-catalog
HAIMER,shrink_fit,.12,HSK-A63,12,12,18,80,48,haimer-holder-catalog
HAIMER,shrink_fit,.1/4Z,HSK-A63,6.35,6.35,26.92,80.01,36.07,haimer-holder-catalog
HAIMER,shrink_fit,.5/16Z,HSK-A63,7.94,7.94,26.92,80.01,36.07,haimer-holder-catalog
HAIMER,shrink_fit,.1/2Z,HSK-A63,12.7,12.7,32,89.92,46.99,haimer-holder-catalog
HAIMER,shrink_fit,.5/8Z,HSK-A63,15.88,15.88,34.04,89.92,50.04,haimer-holder-catalog
