tool_id,brand,tool_type,material,source_file
AMPC-151N-.801,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151N-.859,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151N-.890,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151N-.921,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151N-0023,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151N-0024,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151N-0025,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151N-0026,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151N-0027,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151N-0028,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151N-0029,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151N-0030,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151N-18,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151N-18.5,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151N-19,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151N-19.5,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151N-20,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151N-20.5,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151N-21,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151N-21.5,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151N-22,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151N-22.5,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151N-23,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151N-23.5,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151N-24,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151N-XXXX,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151T-.703,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151T-.734,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151T-.765,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151T-.796,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151T-.801,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151T-.859,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151T-.890,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151T-.921,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151T-0023,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151T-0024,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151T-0025,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151T-0026,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151T-0027,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151T-0028,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151T-0029,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151T-0030,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-151T-18,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
